model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,tree,35,0.697212543554007,0.6900884072595952,0.7050815107929701,0.697212543554007,0.7344435198668608
nb,tree,35,0.6336817653890825,0.6243635027494424,0.655962365587545,0.6336817653890825,0.7375348450176826
knn,tree,35,0.562253193960511,0.5565018319484084,0.563891464824033,0.562253193960511,0.6041111920116498
rf,tree,35,0.6736353077816493,0.667668317074297,0.6917845159071382,0.6736353077816493,0.775501352194716
dt,tree,35,0.6167247386759582,0.6077669969122935,0.6411168456542509,0.6167247386759582,0.6157447472436031
lr,var,35,0.6304297328687573,0.6282315799673182,0.6374727687457066,0.6304297328687573,0.6918306636155607
nb,var,35,0.5757259001161441,0.5732062958892227,0.5900466891075088,0.5757259001161441,0.6476492614936551
knn,var,35,0.4989547038327527,0.49826621289468703,0.503055124408169,0.4989547038327527,0.5292542126066153
rf,var,35,0.6361207897793264,0.6292059873313502,0.6537731719460431,0.6361207897793264,0.7016065113376326
dt,var,35,0.6114982578397213,0.6102990424675301,0.6257065427797135,0.6114982578397213,0.61478780944456
lr,lrs,35,0.6876887340301974,0.6810450304003656,0.7064460418137093,0.6876887340301974,0.7744476804659872
nb,lrs,35,0.6333333333333334,0.6263996892343372,0.6571857110517141,0.6333333333333334,0.7479654670272519
knn,lrs,35,0.6491289198606272,0.6477844699372318,0.6530950186456761,0.6491289198606272,0.6795288121489494
rf,lrs,35,0.7069686411149825,0.7018895040459596,0.7210643489243189,0.7069686411149825,0.8051477012689828
dt,lrs,35,0.6116144018583044,0.5993521259364871,0.6536526707258414,0.6116144018583044,0.6130892448512586
lr,rfe,35,0.673170731707317,0.6660479214270009,0.6882540063068519,0.673170731707317,0.751993967131267
nb,rfe,35,0.6289198606271775,0.6227575001506831,0.6516205094316954,0.6289198606271775,0.7338059080507593
knn,rfe,35,0.6005807200929152,0.5956048669057235,0.6011596774877852,0.6005807200929152,0.6275936134803412
rf,rfe,35,0.7121951219512195,0.7064239415964346,0.7342397684233661,0.7121951219512195,0.7907078219263575
dt,rfe,35,0.6596980255516842,0.6504082552306432,0.6918579070063375,0.6596980255516842,0.6601112960266278
lr,bor,35,0.6779326364692217,0.6732169623807254,0.6925745734872095,0.6779326364692217,0.7329165799875182
nb,bor,35,0.6334494773519165,0.6244724025518793,0.6513796771999945,0.6334494773519165,0.7547555648013314
knn,bor,35,0.5724738675958189,0.5700110564773072,0.5795280637238982,0.5724738675958189,0.639021219055544
rf,bor,35,0.6930313588850174,0.6872950923697551,0.7055999313579419,0.6930313588850174,0.7768275431662159
dt,bor,35,0.664459930313589,0.6584576138972056,0.687475155870116,0.664459930313589,0.6624963594757645
lr,lass,35,0.7499419279907084,0.7439078210029122,0.7820410425811123,0.7499419279907084,0.8237882255044726
nb,lass,35,0.6770034843205575,0.6582323480599147,0.7077602119613472,0.6770034843205575,0.7554545454545454
knn,lass,35,0.6629500580720094,0.662230453754367,0.6734763985288627,0.6629500580720094,0.6953333680049927
rf,lass,35,0.7357723577235772,0.7273239655622763,0.7701147132961573,0.7357723577235772,0.8136129602662784
dt,lass,35,0.7070847851335655,0.701415523406448,0.7225084426857331,0.7070847851335655,0.7070542958185978
lr,muin,35,0.6828106852497096,0.6781210478175451,0.6962179991225262,0.6828106852497096,0.7538131890992303
nb,muin,35,0.6284552845528456,0.621701068685167,0.6589832045377059,0.6284552845528456,0.7389307260245477
knn,muin,35,0.6534262485481999,0.6509418708760343,0.6574169952594308,0.6534262485481999,0.6883305596005826
rf,muin,35,0.7362369337979094,0.7326423101715814,0.7497257301925936,0.7362369337979094,0.7968415851882671
dt,muin,35,0.6205574912891986,0.6066544337388511,0.640718299139591,0.6205574912891986,0.6177293530268358
lr,chi,35,0.6634146341463414,0.6613911034112304,0.6760291690614502,0.6634146341463414,0.7579696276263782
